0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:31:53 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:32:40 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:32:40 +0900] "GET /21.04.29/img/l_2021031401001628900137951.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:33:12 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:41:38 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:41:38 +0900] "GET /21.04.29/img/l_2021031401001628900137951.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:41:44 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:41:50 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:42:00 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:42:17 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:42:47 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:43:04 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:43:10 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:43:16 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 247
